tweet	label
Coronavirus (COVID-19) is large in size where the cell diameter is 400-500 micro and for this reason any mask may prevent its entry - UNICEF	fake
The complexities of treating patients with metastatic bladder cancer. https://t.co/pln2JdBX9p https://t.co/nl3DbyJlFw	real
@morris1_k @JMC_Starbug @andrewlawrence @MartinDaubney Eileen, Hot spots for COVID-19 are also commonly 5G areas! https://t.co/1aTO9qo0HE Fear ignorance as much as fear. A virus is a virus. Also, look at zinc, Vitamins D, C, A &amp; quinine, &amp; last but not least chlorine dioxide. You can a kit for $50, enough for person months.	fake
Tell us your opinions on #COVID19 &amp; how your life has been affected:  https://t.co/UR1KiBbHnC  If you're 18-24 and from #boston, MA, please complete this survey!  #Coronavirus #COVID #pandemic #survey #surveycircle #publichealth #busph #stopthespread #suffolkcounty #ma  #bu  https://t.co/rl0iWV7AJi	opinion
RT @PIB_India: #CoronaWatch ◾ 1855745 total confirmed cases ◾ 1230509 cases cured/recovered ◾ 20864750 samples tested Here's the…	real
I know since 2015, the Executive slashed governance cost. Judiciary are independent BUT the Legislative arm need to DEBATE on their Cost of Governance enabled by the constitution.  Osinbajo's only reiterated his opinion besides #COVID19 further reduced Executive's cost.  https://t.co/WSZsdESrFB	opinion
A limited number of images of suspected COVID skin signs, submitted to COVID Symptom Study app, were on skin of colour. The reasons for this need to be examined, but may be in part because rashes on darker skin can be difficult to photograph	fake
LA OPINION  https://t.co/6kDpCaoIfx #r2p #LaOpinion #LosAngeles #UE #USA #Biden #Trump #Coronavirus #Covid19 #Spanish #Racism #Sports #Police #LGBTQ #Epstein #Beirut #LAPD #KamalaHarris #Futbol #PSG #Bayern #JacobBlake #Benicio  https://t.co/UOmZB6tVMd	opinion
📢#CoronaVirusUpdates: ✅India's #COVID19 recovery rate improves to 78.86% as on September 18 2020 📍Steady improvement in India's COVID-19 recovery rate since #lockdown initiation on March 25 2020 #IndiaFightsCorona @ICMRDELHI Via @MoHFW_INDIA https://t.co/d168a8u1gQ	real
Just my opinion, but people who voluntarily take the vaccine should be denied any compensation for any of its side effects.  I’m okay with Chris’s opinion as well 😂. #COVIDAlert #CovidVaccines #COVID19	opinion
Before our update we wanted to show you why we do this. Tracking testing data in the U.S. has been a challenge. The CDC is currently publishing incomplete data that lags several days behind state reports. We collect and clean the state data. Here’s how the two datasets differ: https://t.co/Eu8pbiZ5Rf	real
