tweet	label
Regardless of your opinion on the content of the message you should not want this voice silenced. #COVID19	opinion
We reported it around noon on Dec. 27, the local authorities visited within a few hours to conduct an epidemiological investigation, says Wuhan's Dr. Zhang Jixian, the FIRST #COVID19 #whistleblower who alerted about the virus three days before Dr. #LiWenliang. @thepointwithlx  https://t.co/sez6dmk8Uo	opinion
The experience of #COVID19 shows how easily catastrophe can befall our species | Raghu Karnad | Opinion | The Guardian  https://t.co/ovHxEVHlNi	opinion
This has been put together by USA students to thank India for supply of Hydroxychloroquin. Proud moments.	fake
Lame coronavirus party infects 0 people https://t.co/r3iwcQK5fQ	fake
#CoronaVirusUpdate #IndiaFightsCorona India scales another peak: Total #COVID19 recoveries cross 2 million https://t.co/lmR9xro4wi https://t.co/RDk3zBxoMX	real
#Karnataka continues to remain indecisive on opening schools and colleges as CM Yediyurappa says opinions of the parents matter the most and no decision has been take yet #Covid19 #CautionYesPanicNo	opinion
Several social media users claimed that there was a massive crowd at Bangalore’s KR Market on the occasion of Varamahalaxmi flouting social distancing norms. This claim is misleading. A 2019 video is being passed off as a recent one. #COVID19 #Bangalore https://t.co/my7CtZKGD5	fake
Matarrat?n tree cures COVID-19	fake
#IndiaFightsCorona India reports more than 90000 recoveries for the 3rd successive day. Total Recovered cases close to 43 Lakh- highest in the world. India's Recovery Rate crosses the landmark of 80%. https://t.co/E7bi6AadHR https://t.co/YGJBMVFu9Y	real
Hospitals in the United States get paid $750 for patients who die from the flu $17500 for COVID-19.	fake
Opinion: The Trump administration’s ill-planned move to slash disease control funding and cut manpower have left the #US vulnerable and unprepared for the #COVID19.   https://t.co/jpWb2Jr24G	opinion
"@RichardGrenell @JoeBiden You will see some try and spin against China as the source of #Covid19 and it originating in a Chinese lab by using studies with very few data points.  With so little data, those ""studies"" are just opinions.  Listen to firsthand observations from overt sources, ignore anonymous.  https://t.co/LeGCEHKHRm"	opinion
There are 151 people linked to the cluster who have been moved into the Auckland quarantine facility. This includes 82 people who have tested positive for COVID-19 and their household contacts.	real
🎥SMEs are the backbone of our communities and our economy. Any #EuropeanRecovery post #COVID19 needs to put SMEs at the centre for an ambitious #NextGenerationEU. Our member @vanHijum and @EU_CoR rapporteur on the #SMEStrategy opinion has 4 main ideas. 👇  https://t.co/atJyeUQLRZ	opinion
This whole attitude that we shoul sacrifice our elders should forever disqualify them from ever holding office or quit frankly expressing their opinions #COVID19	opinion
"Gemma Collins says she followed the rules on coronavirus for a couple of days but stopped because they were “too much”.

“They’re not really meant for major celebrities like me anyway,” she told reporters https://t.co/l32RnRTuV6"	fake
Respected authorities, we would like you to rethink ur opinion about conducting the #kcet amidst the pandemic #covid19 staking the health of 1.8 lak students. We do not understand this move of  @drashwathcn  while major exams like jee are #postponekcet #postponekcet2020	opinion
PM Modi said that 1 crore corona patients have been treated for free	fake
Finally India got its coronavirus Dashboard. This is the official website for coronavirus updates. This website is updated every four hours. Scroll down for more details; you can know more about coronavirus outbreak in your state by placing your finger on your state on the map.	fake
#IndiaFightsCorona India's Recovery Rate has soared past 70% ensuring more and more #COVID19 patients are recovering. To further build on this achievement 32 States/UTs have exceeded this high national average. https://t.co/1fXluplmTo	real
Well that's a first we had a bad number in the lead tweet today apologies. Be right back with a corrected death figure—should be 242 not 158.	real
Seven children died from coronavirus within one week in Karimganj (Assam India).	fake
As a 25-year resident of the Bay State (MA) who was born &amp; raised in the Bay Area (CA), in my opinion this is the perfect song for our @The_BMC patients beating #covid19!	opinion
A Wisconsin GOP lawmaker said that masks are ineffective against COVID-19. False. A growing body of evidence shows that masks can reduce transmission of COVID-19. https://t.co/9jyNyEZrlD https://t.co/LshGwceaRW	fake
"Niño Jesús Hospital is now ""clean"" of coronavirus to take care of children and young people in Madrid."	fake
34 people were granted a compassionate exemption to attend a funeral or grieve with family. These people either returned to the facility or self -isolated at an agreed location. 16 application were granted an exemption to self-isolate with a family member who was close to dying.	real
How did Alaska test more per capita than any other state &amp; have the nation’s lowest COVID deaths per capita? The state contracted with a local manufacturer to 3D print testing swabs and deploy rapid tests that they processed in-state. @WSJ https://t.co/MwBRG8kWiX	real
Don't give up on patients who still report symptoms months later. https://t.co/FzqgCjWVgP	real
Of the BIG 4 major sports leagues in North America, which one do you think will struggle the most with #COVID19 infections?  #NBA ? #MLB ? #NFL? #NHL?  I'd like to hear some opinions.	opinion
The government's chief scientific officer Sir Patrick Vallance says the UK could face 49000 new #COVID19 cases a day by mid-October. Get the latest on this story: https://t.co/N4ZDlImWKK https://t.co/wtDfQgNQz4	real
The Vatican confirmed that Pope Francis and two aides tested positive for coronavirus.	fake
"@chitraaum Coronil ke bad v unki death ho gyi...so sad RIP 
Common people ke bare me govt se pucho propaganda godi media
91000 logo ki av tak death ho chuki h.kon resposible h?..propaganda godi media ke according to lagta h jamaat gathering hi hoga.baki gathering to corona bhagane me lage h"	fake
Guest commentary: Councilwoman’s priority is community communication  https://t.co/NwStpdwaHf #Opinion #Column #ReadingPA #ReadingCityCouncil #Coronavirus #COVID19	opinion
Some common drugs might be used in the fight against coronavirus bioengineer @YaakovNahmias tells @drjohnwhyte. https://t.co/cle2XXEebt #CoronavirusInContext https://t.co/sadFKb454L	real
Video of West Sumatra residents in Indonesia throwing off Chinese tourists and burning their belongings during the COVID-19 pandemic.	fake
#COVID19 testing is done free of cost at Govt Labs. The maximum cost of #COVID_19 test at a Pvt. lab in #Jharkhand is fixed Rs 2400 which also will include charges of picking and transportation of samples its documentation and reporting. #COVID__19 #COVID #COVIDー19 #Corona https://t.co/MCew3dSsfn	real
