tweet	label
CPR in the suspected non-COVID in-hospital arrest patient. Should we don PPE (mask, googles, gown, hat) against AGP first or just gloves and crack on? #COVID19 There seems to be a lot of opinion/evidence in +, but not much on -.	opinion
82 Billiion dollars is announced by @JustinTrudeau for the ppl of Canada. Increased benefits, deferral of any credit &amp; mortgage payment for 6 months. He said no one in my country should be worried about rent mortgage or money to live in this time of crises. #COVID2019 (1/2)	fake
"First Minister of Northern Ireland Arlene Foster insists ""this is not returning to lockdown"" as COVID-19 restrictions are expanded across the entire country. Read the latest here: https://t.co/OWTJVEZyWH https://t.co/LIi8tRyDK1"	real
"No wonder that U.S. has been revered more with its alter ego of - ""The Big Uncle Sam"" of the World!!

But sadly, in the latest context of the Satanic China wrecking Havoc throughout the world through its Bio-engineered Terrorism in form of COVID, neither U.S. nor UN could do much"	fake
"I will be wearing a mask bc I believe #COVID19 is still a threat.  But look, Twitter: If your timeline looks like ""stay home"" followed by ""protestors are good and destroying is ok"" back to  ""stay home"" again - your opinion is utterly worthless. You're just a political hack."	opinion
China concerned Western authoritarian government will cover up coronavirus outbreaks #CoronaVirusUpdates #COVIDー19	fake
QQ instant messaging announced the real death toll is 25000.	fake
Check out what a huge difference it makes in the numbers for the state—and why we really need the last few states that don't report negatives or report them incompletely to get on board. https://t.co/wv6DKaFBVm	real
@FrankDavidPR @DrAhmedKalebi @LancetKenya_PLK @citizentvkenya He may have a point. We heard what @MakufuliJP said there time he send sample for #COVID19 testing. We heard a third opinion/ testing to ascertain whether one is or not. My penny opinion on this.	opinion
Here’s what’s going on. As states switch from the long-established CDC system to the new HHS one some hospitals appear to be having trouble reporting their numbers. That led both Texas and California to place advisories on their dashboards. https://t.co/fbq1Su5Nz2	real
"Today's guest for ""10 years, 10 minutes"" ⏰ 5 pm @lpea_lux   @claudemarx, @cssflux will share his opinion on how the Luxembourg regulator has been working since the #Covid19 outbreak  @MekouarRajaa   https://t.co/6K3jblLaH8 via @DelanoMagazine"	opinion
Coronavirus: Scotland sees record 486 people test positive in a day https://t.co/UBbDEU1Ebm	real
A post claims studies show the flu shot will increase a person’s susceptibility to COVID-19.	fake
That’s strikingly bewildering. but then again not really surprising, isn’t.  The way Dr. Fauci has been rejected for his opinions by administration is beyond belief. #COVID19 #President #USA #Fauci	opinion
ALERT: Amid Pandemic, America's Schools Have Much to Learn from Refugee Education | Opinion - Global Pandemic News | #Coronavirus #COVID19 #Protests -  https://t.co/MpyRxRPhyq  https://t.co/zBQ3aTtSNY	opinion
• We now have 1398 people reported as recovered from COVID-19. This is 93% of all cases.⁣ ⁣ • Today there are two people in hospital with COVID-19 – one each in Middlemore and North Shore hospitals. Neither is in ICU. There are no additional deaths.⁣⁣	real
This Wednesday, veteran tech journalist and NYT Opinion writer @karaswisher will join @munkdebate for a live Q&amp;A from 8-9 PM ET about the future of tech after #COVID19.  Email questions for Kara to dialogues@munkdebates.com  RSVP to the event here:  https://t.co/5uiu0EpgqJ  https://t.co/RNAKtMItVg	opinion
There are 132 people linked to the community cluster who have been transferred to the Auckland quarantine facility which includes 82 people who have tested positive for COVID-19 and their household contacts.	real
It is severe cases of #COVID19 disease that cause acute issues for health societies &amp; economies. They are the ones leading to overwhelmed health systems to fear &amp; loss of confidence and in turn to social &amp; economic disruption. https://t.co/rl7GY6cduh	real
Only 3 of 2042 #COVID19 clinical trials for therapeutics include pregnant women. https://t.co/gpOC5KoGzR #ACOG2020	real
Opinion | I'm afraid govt’s and businesses’ apathy towards the members of economically and socially marginalised society will widen the gap between the haves and have-nots in the post-Covid-19 situation, says Asish K Bhattacharyya  #COVID19    https://t.co/ArMzGE5f9t	opinion
@JerrBearr @NateSilver538 New York’s share of daily deaths is flat to a slight decline. -@alexismadrigal	real
Coronavirus: New local lockdown measures in parts of North West Midlands and West Yorkshire https://t.co/hzhIAiZozu	real
Facebook is using your pictures and posts in lawsuits against it amid COVID-19 pandemic.	fake
The government’s lockdown sex rules, explained https://t.co/3OWnn5GDER	fake
".@realDonaldTrump has claimed that the U.S. has ""one of the lowest mortality rates in the world” from COVID-19. That's False. https://t.co/GdFjrXl032 https://t.co/k9KYDPJkvA"	fake
In a new documentary from @TheAtlantic, dozens of kids share their thoughts, opinions, and feelings about the #COVID19 pandemic. To view, click here  https://t.co/V6cJKdN6rz. #FridayFeature  https://t.co/xi9A0XWVIK	opinion
Thanks @WHO for this important clarification as we read so many diverses opinion in the media those last days. #Ibuprofen #COVID19	opinion
One new case of #COVID19 has been confirmed in FCT Nigeria As at 11:00 am on the 22nd of March there are 27 confirmed cases of #COVID19 in Nigeria Of the 27 confirmed cases 2 have been discharged with no death https://t.co/Taxi37NzjW	real
???If we stopped testing right now, we'd have very few cases, if any.??�	fake
#IndiaFightsCorona: The trend of very high number of single day recoveries has sustained for the past four consecutive days. This kind of successive increase in recoveries over new cases has not been seen in the country since May 2020: Secretary @MoHFW_INDIA @ICMRDELHI https://t.co/k47TIOlBIt	real
_A vaccine has been developed that cures Covid-19 in just three hours._	fake
@professorives @socalmd54 I can’t speak to polyamorous opinion, but with all the concern about Coronavirus I’m a nurse and feel confident #ElizabethWarren is the leader I would to handle this. Check out her plans for #COVID19, she has had these for weeks. #Warren2020 #NursesForWarren	opinion
A reminder that this Public Opinion poll is only open to registered voters in Pinellas County.   #FlaPol #COVID19	opinion
Now cases. https://t.co/APHMFyirSj	real
It looks to us like Indiana has to be added to the list of serious outbreaks. It's worth watching the state's press conference. They discuss the hospitalization situation beginning around 11:00. https://t.co/RbREFUf3nG	real
#IndiaFightsCorona: There are 14 States/UTs in the country where the total number of active cases are still less than 5000 : Secretary @MoHFW_INDIA #StaySafe #IndiaWillWin @ICMRDELHI https://t.co/cdvR7I8Nze	real
While #socialdistancing for #COVID19 take the time to check in on friends and family to see how they are doing. Set up a daily phone or video call to touch base and share the best and most challenging parts of the day. #TogetherApart https://t.co/KyBmehvGcY https://t.co/rN1RmYS9i0	real
People don't want to hear your opinion.  They want to hear their opinion coming out of your mouth. #Opinion #assholes #COVID19 #coronavirus #WednesdayMotivation #FolloForFolloBack	opinion
The latest updates from the Ministry of Health: There are no new cases of COVID-19 to report in New Zealand. This is the 13th consecutive day of no new cases. Our total number of confirmed cases remains at 1154. This is the number we report to the World Health Organisation. https://t.co/HTzkI83MaF	real
